source_track,times_sampled_by_brazil
Azymuth — Melô dos dois bicudos (1975) [Brazil],1
μ's — WILD STARS (2013) [Japan],1
Tim Maia — Ela partiu (1974) [Brazil],1
GUSTAVOEGATOTV — O Famoso 6 Dedos (2023) [Brazil],1
Maneva — Preto pobre suburbano (2006) [Brazil],1
The Fish House — Banged (2011) [Brazil],1
Alibi — Trunk (2017) [Brazil],1
Luccas Neto — Faz Brilhar (2022) [Brazil],1
Ottawan — D.I.S.C.O. (2003) [France],1
Pink Floyd — Another Brick in the Wall (1994) [(unknown)],1
The Dramatics — Just Shopping (Not Buying Anything) (1975) [United States],1
Barney — The Clapping Song (1999) [United States],1
GUSTAVOEGATOTV — Rapidinha (2024) [Brazil],1
Aesthetische — Stupid People Fuck Off (2012) [Brazil],1
Avalon — Double Trouble (2015) [United Kingdom],1
Leon Russell — Fantasy (1976) [United States],1
Léo Leobons — São Bento pra Ramiro (2018) [Brazil],1
Scorsi — Tumbah (2018) [Brazil],1
暗闇DESTINY — A New Day (2022) [Brazil],1
Vintage Culture — Strange Feelings (2024) [Brazil],1
Urbandawn — Spectrum (2015) [Brazil],1
Wanessa Camargo — Quem Sou Eu (2023) [Brazil],1
Darondo — Didn’t I (2005) [United States],1
"Diana Ross — Stop, Look, Listen (to Your Heart) (1973) [United States]",1
Kurup — Quenacho Fuji (2019) [Brazil],1
Gabe — Joker (2020) [Brazil],1
Imagination — Just an Illusion (1982) [United Kingdom],1
MC Fioti — Bum bum tam tam (Jax Jones remix) (2018) [Brazil],1
Menudo — A Cara o Cruz (1986) [Puerto Rico],1
Critycal Dub — Situations (2013) [Brazil],1
Lexa — Movimento (2017) [Brazil],1
Cement Tea — Boredom (2018) [Brazil],1
Amon Tobin — Theme From Battery (2005) [Brazil],1
The Prodigy — Smack My Bitch Up (1997) [United Kingdom],1
KC and the Sunshine Band — Give It Up (1982) [United States],1
Paradizzle — Drowned (2016) [Brazil],1
Amon Tobin — Bloodstone (2006) [Brazil],1
